chainage (m),width (m),thalweg
0,2094.4,105.59
10,2089.1,105.599
20,2083.7,105.608
30,2078.3,105.618
40,2072.9,105.626
50,2067.5,105.635
60,2061.7,105.645
70,2055.5,105.654
80,2049.3,105.662
90,2043.1,105.672
100,2037.1,105.681
110,2030.8,105.691
120,2024.7,105.699
130,2018.5,105.708
140,2012.4,105.718
150,2006.3,105.727
160,2000.4,105.735
170,1994.3,105.745
180,1988.1,105.754
190,1981.8,105.763
200,1975.3,105.772
210,1968.9,105.781
220,1962.7,105.79
230,1956.3,105.8
240,1949.9,105.809
250,1943.4,105.817
260,1937.1,105.827
270,1930.8,105.836
280,1924.5,105.845
290,1918.4,105.854
300,1912.1,105.863
310,1905.9,105.872
320,1899.6,105.881
330,1893.4,105.891
340,1887.2,105.9
350,1881.1,105.909
360,1875,105.917
370,1868.9,105.927
380,1862.7,105.936
390,1856.5,105.945
400,1850.5,105.954
410,1844.4,105.964
420,1838.4,105.973
430,1832.4,105.981
440,1826.4,105.99
450,1820.2,106
460,1814.3,106.009
470,1808.4,106.018
480,1802.3,106.027
490,1796.4,106.036
500,1790.2,106.046
510,1783.3,106.055
520,1776.8,106.063
530,1770.4,106.072
540,1763.8,106.081
550,1757.5,106.091
560,1751.3,106.1
570,1745.1,106.109
580,1738.8,106.118
590,1732.7,106.127
600,1726.5,106.136
610,1720.3,106.146
620,1714.4,106.155
630,1708.5,106.164
640,1702.3,106.173
650,1696.2,106.182
660,1690.1,106.191
670,1683.9,106.2
680,1678,106.209
690,1671.8,106.219
700,1666,106.228
710,1660.1,106.237
720,1654.4,106.246
730,1648.7,106.255
740,1642.8,106.264
750,1637.2,106.273
760,1631.6,106.282
770,1626,106.291
780,1620.2,106.3
790,1614.7,106.309
800,1609.1,106.318
810,1603.6,106.327
820,1598.2,106.337
830,1592.5,106.346
840,1587.1,106.355
850,1581.7,106.364
860,1576.3,106.373
870,1570.8,106.383
880,1565.3,106.392
890,1560,106.401
900,1554.6,106.41
910,1549.3,106.419
920,1544,106.428
930,1538.6,106.436
940,1533.3,106.445
950,1528.1,106.455
960,1522.9,106.464
970,1517.5,106.473
980,1512.3,106.482
990,1507.1,106.491
1000,1501.9,106.5
1010,1496.7,106.51
1020,1491.4,106.519
1030,1486.3,106.528
1040,1481.1,106.537
1050,1476,106.546
1060,1470.9,106.555
1070,1465.7,106.564
1080,1460.5,106.573
1090,1455.4,106.583
1100,1450.3,106.592
1110,1445.1,106.6
1120,1440.1,106.609
1130,1434.9,106.619
1140,1429.9,106.628
1150,1424.8,106.637
1160,1419.7,106.646
1170,1414.6,106.655
1180,1409.6,106.664
1190,1404.5,106.674
1200,1399.5,106.682
1210,1394.4,106.692
1220,1389.4,106.701
1230,1384.4,106.71
1240,1379.4,106.719
1250,1374.4,106.728
1260,1369.4,106.738
1270,1364.4,106.746
1280,1359.4,106.756
1290,1354.4,106.764
1300,1349.4,106.774
1310,1344.5,106.783
1320,1339.4,106.792
1330,1334.5,106.801
1340,1329.6,106.81
1350,1324.6,106.819
1360,1319.6,106.829
1370,1314.6,106.837
1380,1309.5,106.847
1390,1304.5,106.856
1400,1299.4,106.865
1410,1294.4,106.874
1420,1289.5,106.882
1430,1284.4,106.892
1440,1279.4,106.901
1450,1274.5,106.91
1460,1269.5,106.919
1470,1264.5,106.929
1480,1259.6,106.938
1490,1254.6,106.946
1500,1249.7,106.956
1510,1244.7,106.965
1520,1239.8,106.974
1530,1234.9,106.984
1540,1230,106.992
1550,1225.1,107.001
1560,1220.2,107.01
1570,1215.3,107.02
1580,1210.4,107.029
1590,1205.5,107.038
1600,1200.7,107.047
1610,1195.8,107.056
1620,1190.9,107.065
1630,1186.1,107.074
1640,1181.3,107.083
1650,1176.4,107.093
1660,1171.6,107.102
1670,1166.8,107.111
1680,1162,107.12
1690,1159.1,107.127
1700,1159.7,107.126
1710,1160.3,107.126
1720,1161,107.126
1730,1161.6,107.126
1740,1162.3,107.126
1750,1163,107.126
1760,1163.6,107.126
1770,1164.3,107.127
1780,1165,107.127
1790,1165.8,107.127
1800,1166.5,107.127
1810,1167.2,107.127
1820,1167.9,107.127
1830,1168.7,107.127
1840,1169.4,107.127
1850,1170.2,107.127
1860,1170.9,107.128
1870,1171.7,107.128
1880,1172.4,107.129
1890,1173.1,107.129
1900,1173.8,107.129
1910,1174.4,107.129
1920,1175.2,107.129
1930,1175.9,107.129
1940,1176.6,107.129
1950,1177.3,107.129
1960,1178,107.129
1970,1178.8,107.129
1980,1179.5,107.129
1990,1180.3,107.129
2000,1181.1,107.129
2010,1181.9,107.13
2020,1182.8,107.13
2030,1183.6,107.13
2040,1184.5,107.13
2050,1185.4,107.13
2060,1186.3,107.13
2070,1187.3,107.13
2080,1188.2,107.13
2090,1189.1,107.13
2100,1190.1,107.131
2110,1191.1,107.131
2120,1192.2,107.131
2130,1193.2,107.131
2140,1194.3,107.131
2150,1195.4,107.131
2160,1196.8,107.132
2170,1198.1,107.132
2180,1199.9,107.132
2190,1201.8,107.132
2200,1203.9,107.131
2210,1205.7,107.131
2220,1207.5,107.132
2230,1209.4,107.132
2240,1211.6,107.132
2250,1213.5,107.132
2260,1215,107.132
2270,1216.4,107.132
2280,1217.9,107.133
2290,1219.5,107.133
2300,1220.9,107.133
2310,1222.5,107.133
2320,1224.1,107.133
2330,1225.5,107.134
2340,1226.8,107.133
2350,1227.9,107.133
2360,1229.2,107.133
2370,1230.3,107.133
2380,1231.6,107.134
2390,1232.9,107.134
2400,1234.1,107.134
2410,1235.4,107.134
2420,1236.5,107.135
2430,1237.8,107.134
2440,1239,107.134
2450,1240.2,107.134
2460,1241.5,107.135
2470,1242.6,107.135
2480,1243.9,107.135
2490,1245.2,107.134
2500,1246.4,107.135
2510,1247.6,107.135
2520,1248.7,107.135
2530,1249.7,107.136
2540,1250.8,107.136
2550,1251.9,107.135
2560,1253.1,107.135
2570,1254.2,107.136
2580,1255.3,107.136
2590,1256.4,107.135
2600,1257.4,107.136
2610,1258.6,107.136
2620,1259.7,107.136
2630,1260.8,107.137
2640,1261.9,107.136
2650,1263,107.137
2660,1264.1,107.137
2670,1265.2,107.136
2680,1266.3,107.137
2690,1267.4,107.137
2700,1268.5,107.137
2710,1269.7,107.137
2720,1270.8,107.137
2730,1271.9,107.138
2740,1273,107.137
2750,1274.1,107.138
2760,1275.3,107.138
2770,1276.4,107.137
2780,1277.5,107.138
2790,1278.6,107.138
2800,1279.8,107.138
2810,1280.9,107.138
2820,1282.1,107.139
2830,1283.2,107.138
2840,1284.4,107.139
2850,1285.5,107.138
2860,1286.7,107.139
2870,1287.9,107.139
2880,1289,107.139
2890,1290.1,107.139
2900,1291.4,107.139
2910,1292.5,107.139
2920,1293.7,107.14
2930,1294.9,107.14
2940,1296.1,107.14
2950,1297.2,107.14
2960,1298.5,107.14
2970,1299.8,107.14
2980,1301,107.14
2990,1302.3,107.14
3000,1303.6,107.141
3010,1304.8,107.14
3020,1306.1,107.141
3030,1307.4,107.14
3040,1308.7,107.141
3050,1310,107.141
3060,1311.2,107.141
3070,1312.5,107.141
3080,1313.9,107.142
3090,1315.2,107.141
3100,1316.4,107.142
3110,1317.8,107.142
3120,1319,107.141
3130,1320.4,107.142
3140,1321.7,107.142
3150,1323,107.142
3160,1324.2,107.142
3170,1325.6,107.142
3180,1326.9,107.143
3190,1328.2,107.142
3200,1329.6,107.143
3210,1330.8,107.143
3220,1332.2,107.143
3230,1333.5,107.143
3240,1334.8,107.143
3250,1336.1,107.143
3260,1337.4,107.144
3270,1338.7,107.143
3280,1340.1,107.143
3290,1341.4,107.144
3300,1342.7,107.144
3310,1344,107.144
3320,1345.3,107.143
3330,1346.7,107.144
3340,1348,107.144
3350,1349.3,107.144
3360,1350.6,107.145
3370,1352,107.145
3380,1353.3,107.145
3390,1354.7,107.144
3400,1356,107.145
3410,1357.3,107.145
3420,1358.6,107.145
3430,1360,107.145
3440,1361.3,107.145
3450,1362.7,107.146
3460,1363.9,107.146
3470,1365.2,107.146
3480,1366.5,107.146
3490,1367.8,107.145
3500,1369,107.145
3510,1370.9,107.146
3520,1374.1,107.138
3530,1378.4,107.13
3540,1382.8,107.121
3550,1387.1,107.113
3560,1391.5,107.105
3570,1395.9,107.097
3580,1400.3,107.089
3590,1404.6,107.081
3600,1409,107.073
3610,1413.3,107.065
3620,1417.7,107.057
3630,1422.1,107.049
3640,1426.4,107.041
3650,1430.8,107.033
3660,1435.2,107.025
3670,1439.6,107.017
3680,1443.9,107.009
3690,1448.3,107
3700,1452.7,106.992
3710,1457.1,106.984
3720,1461.5,106.976
3730,1465.8,106.968
3740,1470.2,106.96
3750,1474.6,106.952
3760,1479,106.944
3770,1483.4,106.936
3780,1487.8,106.928
3790,1492.1,106.92
3800,1496.5,106.912
3810,1500.9,106.904
3820,1505.3,106.896
3830,1509.7,106.887
3840,1514.1,106.879
3850,1518.5,106.871
3860,1522.8,106.863
3870,1527.3,106.855
3880,1531.6,106.847
3890,1536,106.839
3900,1540.4,106.83
3910,1544.8,106.822
3920,1549.2,106.814
3930,1553.6,106.806
3940,1558,106.797
3950,1562.4,106.789
3960,1566.8,106.781
3970,1571.1,106.774
