chainage (m),Q (m3/s),flood levels (masl)
24651.536892034077,7755.546128025143,115.9370230032665
24679.177375651983,9545.432551302041,117.6250209892246
7109.99463730224,14610.980200972419,124.34320675140599
22409.517255886523,12108.822247014543,120.28214474506613
31612.22297333594,10839.908136943552,121.01508425060393
4522.316670029415,12412.57334737285,122.82645101371179
2753.5311230996044,14661.752013460227,126.8306320621673
4846.075484606933,5036.238505719444,116.18045077501874
29145.69190203213,10591.373715328893,120.08927659593823
4285.800520373571,9427.269356664008,121.31249737711694
26676.304665023257,12170.700227331066,120.00675165439243
8660.518170780388,10247.728860902656,119.28635440037105
5521.843561589348,5744.746287926126,117.05844243678095
28786.192369544497,14365.902924655697,122.87835253445007
26841.500308095194,6150.774556179603,115.88610564838267
23925.265834160116,9607.291697339806,115.74152416685908
19498.575359125163,12163.939496629942,119.91477425254402
12172.816465384838,7758.790914506492,121.66428883698035
1799.5450432125317,15311.619454803804,128.36083579631855
20845.78098285344,7116.2998654934745,117.39488399542313
5855.191224985212,10278.66729102175,119.73341837392132
7338.72436052629,7426.041518117521,116.19901304833053
8261.382316255951,16556.92318168562,123.75319729255659
14967.29208600269,15335.848915374174,123.90242339217806
25923.430442057266,5852.620350677913,115.89997831223016
13969.166381879833,11631.676769871088,122.74238902785154
28485.51149009119,9254.200741905968,120.335286956391
870.3913974877871,17176.01606180217,126.52683956022136
28293.6168859267,8291.213481478937,119.36596853193957
10857.657561595961,14314.151908294185,125.37527002432077
6017.072909886539,6623.301909762434,118.14758114860327
28876.062399605697,16365.766105888451,123.68897536922967
5563.342705068665,7758.588349359875,118.28995797301053
30760.223690688435,10058.730328022997,119.38278347962607
12702.186568232915,10426.450389123156,124.23269550174604
2264.391080980896,11271.372842226066,124.1074482088339
19985.51076474348,10022.020875537579,119.94881064948402
27883.723115784305,6402.165953201336,116.8586802290582
11444.070639692469,5689.029659076629,117.77304177724606
31008.194159672672,11634.29991645804,121.08483712209112
32498.48409988756,4779.642967725889,113.55131542782809
260.6587737545092,9638.462713108167,120.05035489813976
2837.1706525388036,8704.09799505018,121.78811101895768
21101.461480187787,7515.63955918272,117.94044991405312
8042.227647592682,13664.778180843117,123.04733475819613
7237.9892087611215,12395.0688785066,121.42348005454484
4595.335385211915,9507.008226870557,120.3584628336287
20800.955206855568,18602.953896595518,125.38044003753525
10840.067502937356,8798.691414875917,120.7835760890761
21870.76768885204,14890.504964884345,122.29145236617217
33682.108345176355,6794.518995943546,114.52763736092768
15909.226861487967,13128.573531921595,120.40135471154065
21.46520675204784,13773.772988387638,121.77334388512227
18543.29595167485,12636.955287869792,120.22103858604717
24203.057978495803,17881.269251212812,121.81696240748668
30351.008815121175,7423.66080133429,116.73243315555052
31052.696700983986,12444.12351669183,122.02844297939747
24631.109060311643,10170.421348507416,118.07378623741042
30294.917823422948,10662.286122506095,119.83376311487193
23619.652444650674,11903.146352306012,118.06973645797089
8947.816491035972,10165.309054180625,119.0774505375455
7066.316377907357,2237.5978783440114,112.32513564264181
24437.609043281856,13916.817079296936,119.48148566014542
30148.40004672366,11984.694171254647,121.41776997249596
10633.163472802175,9106.33494933941,121.33874149017224
25492.08474585127,3257.078540058914,112.40558145839461
23733.42094769636,4406.177113906884,111.69128485357531
27386.9217010133,8837.687772608306,118.00897143666786
16345.999974820681,10168.002622657668,120.50873706937676
11258.08896873861,16722.16225009099,125.66364346249568
27169.449244122956,11650.719577786707,119.6888355408243
29282.979760058384,10688.721033862948,119.88958909506678
723.3696826551665,6960.8004997623375,118.19665989173055
26444.273966413275,5285.969381691835,115.54782018825634
4643.684533218699,9986.68916832877,121.05296966085835
5462.105134145452,13705.022873236412,122.60641713542371
22613.030226391566,13532.518385911744,120.72392655462934
22104.466327768874,9527.016604222923,118.76243612576633
12414.752120637795,11317.737142196378,124.9881261669198
27714.792235503817,9319.740511681846,119.21751344447573
16584.369692539953,9593.210644938128,121.02399481691445
13557.145843776098,8262.173909342446,121.37273880082658
17695.571433240475,9652.205773162386,119.48998533009525
25526.491699003112,8349.670587609837,117.88213830426206
27126.696946768374,8272.219996467255,117.61488967623058
28434.759755799332,13235.888267626404,123.47617018350627
243.35832339439546,7551.771192220733,118.7160732988756
17760.69761116949,14316.32941884373,122.73343244584088
1222.194264590459,12681.10357521125,124.0255538094527
32319.171631601206,13988.141167639871,123.90841938947881
14349.695913610929,9861.831261950381,121.78156566904119
33705.58189026523,12061.391197488476,120.08504859518314
7976.227229968632,8761.4308571648,117.52346127365774
21976.56003803581,8447.627499526692,117.7373748947931
23179.399972563097,5966.079927567531,114.27718767546213
17358.146527520104,12487.637674594907,123.7882687894833
18266.711752200095,9472.093034851632,118.53982510098157
20483.26522465172,6015.229849875335,116.74559408971074
11444.533244293627,5960.274871746969,118.29694657356502
25102.120334726205,11350.821534558225,118.95246498908433
20414.923426947247,10928.049079666149,120.94921210749685
8826.47803063712,18538.57157044903,125.3865534081618
3318.2493412058775,11213.014868542043,123.56851891540302
1120.504265017126,5974.789120821217,118.6216963160895
7306.547800094546,11977.55644452673,121.63535985176273
13146.743088363943,9802.488977013203,123.27260357257742
1992.4148339784351,5902.702145756693,119.54105973745938
33041.89528358284,10230.810378394342,118.06579473045356
32127.020858134005,13176.829658479652,123.13573596248733
27877.815484723487,5049.172754322492,116.6664680128207
18062.792757021398,9263.802584400617,118.13877447073494
